ticker,region,type,pnl_report,contribution_bps,today_mv_report,prev_mv_report
6181.HK,HK,long,2272166.942752487,0.8756189393552049,1509854933.4590278,1507582766.5162752
BAGY,US,long,0.0,0.0,1017352028.5992595,1017352028.5992595
GOOG,US,long,0.0,0.0,2021372361.3172584,2021372361.3172584
IBN,US,long,0.0,0.0,454659150.7431795,454659150.7431795
ONON,US,long,0.0,0.0,804520500.7301933,804520500.7301933
LLY,US,long,0.0,0.0,748239090.0524408,748239090.0524408
MELI,US,long,0.0,0.0,717724468.6488175,717724468.6488175
SNOW,US,long,0.0,0.0,750282448.5395029,750282448.5395029
UNH,US,long,0.0,0.0,939560766.5503919,939560766.5503919
AR,US,long,0.0,0.0,1003023363.6179194,1003023363.6179194
0522.HK,HK,long,0.0,0.0,1009349154.8111947,1009349154.8111947
MTSR,US,long,0.0,0.0,128213882.07971191,128213882.07971191
GLD,US,long,0.0,0.0,1152361702.3932796,1152361702.3932796
INTC,US,long,0.0,0.0,1140574175.5585139,1140574175.5585139
NXE,US,long,0.0,0.0,1192476835.232391,1192476835.232391
LYB,US,long,0.0,0.0,1520736330.6012428,1520736330.6012428
META,US,long,0.0,0.0,1512244574.5494955,1512244574.5494955
3690.HK,HK,long,-751175.4131625998,-0.2894784736839616,1501507960.2909613,1502259135.7041237
6762.T,JP,long,-10853790.622810416,-4.182696462266064,1185658649.5570073,1196512440.179818
8031.T,JP,long,-11325694.562932609,-4.364552830190675,1150407425.2298796,1161733119.7928123
9988.HK,HK,long,-18421327.723100603,-7.098978133568009,3152115231.4911776,3170536559.214278
9961.HK,HK,long,-63094883.6995732,-24.314707737466847,1234857009.5487897,1297951893.248363
